id,smiles,lgK
0,CC(C)(O)C(=O)O,3.41
1,CCC(O)(CC)C(=O)O,3.25
2,O=C(O)C1(O)CCCC1,3.22
3,O=C(O)C1(O)CCCCC1,2.78
4,O=C(O)C(O)c1ccccc1,2.82
5,CC(O)C(C)(O)C(=O)O,3.25
6,O=C(O)C(O)(CO)CO,3.16
7,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.85
8,O=C([O-])C1(O)C[C@@H](O)C(O)[C@H](O)C1,2.95
9,O=C(O)CCO,1.97
10,CC(CO)(CO)C(=O)O,2.37
11,COc1ccccc1C(=O)O,1.88
12,COc1cccc(C(=O)O)c1,2.03
13,COc1ccc(C(=O)O)cc1,2.01
14,O=C(O)CC(=O)O,3.89
15,CC(C(=O)O)C(=O)O,4.3
16,CCC(C(=O)O)C(=O)O,4.36
17,CCCC(C(=O)O)C(=O)O,4.42
18,CCCCC(C(=O)O)C(=O)O,4.36
19,CCCCCC(C(=O)O)C(=O)O,4.43
20,CC(C)(C(=O)O)C(=O)O,4.17
21,CCC(CC)(C(=O)O)C(=O)O,4.69
22,CCCC(CCC)(C(=O)O)C(=O)O,4.78
23,CCCCC(CCCC)(C(=O)O)C(=O)O,4.78
24,O=C(O)C1(C(=O)O)CCC1,4.05
25,O=C(O)C1(C(=O)O)CCCC1,4.22
26,O=C(O)CCC(=O)O,3.31
27,CC(CC(=O)O)C(=O)O,3.06
28,O=C(O)/C=C\C(=O)O,3.6
29,O=C(O)/C=C/C(=O)O,2.47
30,O=C(O)CCCC(=O)O,3.16
31,O=C(O)CCCCC(=O)O,3.09
32,O=C(O)[C@H]1CC[C@H](C(=O)O)CC1,4.35
33,O=C(O)c1ccccc1C(=O)O,3.65
34,O=C(O)c1cccc(C(=O)O)c1,2.58
35,O=C(O)C[C@H](O)C(=O)O,5.08
36,O=C(O)[C@H](O)[C@@H](O)C(=O)O,4.32
37,O=C(O)COCC(=O)O,5.64
38,CC(OC(C)C(=O)O)C(=O)O,5.62
39,O=C(O)c1cccc(C(=O)O)c1C(=O)O,4.8
40,O=C(O)CC(O)(CC(=O)O)C(=O)O,8.04
41,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,4.6
42,O=[N+]([O-])c1ccc(O)cc1,1.46
