DRUGBANK_ID,GENERIC_NAME,MOLECULAR_WEIGHT,SMILES,LOGS
DB00014,Goserelin,1269.4105,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,-4.7
DB00035,Desmopressin,1069.217,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,-4
DB00050,Cetrorelix,1431.038,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,-5.3
DB00104,Octreotide,1019.239,C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](N)CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)O)C(=O)N1,-4.9
DB00115,Cyanocobalamin,1356.3731,[C@@H]1([C@H]2N3C4=C(C5=[N]6C(C([C@@H]5CCC(N)=O)(C)C)=CC5=[N]7C(=C(C8=[N]([C@@]2([C@@]([C@@H]8CCC(N)=O)(C)CC(N)=O)C)[Co]367([N]2=CN(C3=CC(=C(C)C=C23)C)[C@H]2O[C@H](CO)[C@@H](OP(O)(=O)O[C@H](C)CNC(=O)CC[C@]14C)[C@H]2O)C#N)C)[C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)CC(N)=O,-3.8
DB00116,Tetrahydrofolic acid,445.4292,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,-3.2
DB00117,L-Histidine,155.1546,N[C@@H](CC1=CN=CN1)C(O)=O,-0.4
DB00118,S-Adenosylmethionine,399.445,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12,-2.6
DB00119,Pyruvic acid,88.0621,CC(=O)C(O)=O,0.18
DB00120,L-Phenylalanine,165.1891,N[C@@H](CC1=CC=CC=C1)C(O)=O,-1.6
DB00121,Biotin,244.311,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,-2.3
DB00122,Choline,104.1708,C[N+](C)(C)CCO,-1.6
DB00123,L-Lysine,146.1876,NCCCC[C@H](N)C(O)=O,-0.14
DB00125,L-Arginine,174.201,N[C@@H](CCCNC(N)=N)C(O)=O,-1.9
DB00126,Vitamin C,176.1241,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,0.14
DB00127,Spermine,202.3402,NCCCNCCCCNCCCN,-2
DB00128,L-Aspartic Acid,133.1027,N[C@@H](CC(O)=O)C(O)=O,0.03
DB00129,L-Ornithine,132.161,NCCC[C@H](N)C(O)=O,0.11
DB00130,L-Glutamine,146.1445,N[C@@H](CCC(N)=O)C(O)=O,-0.17
DB00131,Adenosine monophosphate,347.2212,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,-2
DB00132,Alpha-Linolenic Acid,278.4296,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,-6
DB00133,L-Serine,105.0926,N[C@@H](CO)C(O)=O,0.66
DB00134,L-Methionine,149.211,CSCC[C@H](N)C(O)=O,-0.8
DB00135,L-Tyrosine,181.1885,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-1.4
DB00136,Calcitriol,416.6365,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,-4.8
DB00137,Xanthophyll,568.8714,C\C(\C=C\C=C(/C)\C=C\C1C(C)=CC(O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CC(O)CC1(C)C,-5.9
DB00138,L-Cystine,240.3,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-1.2
DB00139,Succinic acid,118.088,OC(=O)CCC(O)=O,0.25
DB00140,Riboflavin,376.3639,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,-2.8
DB00141,N-Acetyl-D-glucosamine,221.2078,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,-0.18
DB00142,L-Glutamic Acid,147.1293,N[C@@H](CCC(O)=O)C(O)=O,-0.26
DB00143,Glutathione,307.323,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,-2.5
DB00144,Phosphatidylserine,385.3041,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,-2
DB00145,Glycine,75.0666,NCC(O)=O,0.87
DB00146,Calcidiol,400.6371,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,-5.3
DB00147,Pyridoxal,167.162,CC1=NC=C(CO)C(C=O)=C1O,-1.2
DB00148,Creatine,131.1332,CN(CC(O)=O)C(N)=N,-1.5
DB00149,L-Leucine,131.1729,CC(C)C[C@H](N)C(O)=O,-0.27
DB00150,L-Tryptophan,204.2252,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,-2.2
DB00151,L-Cysteine,121.158,N[C@@H](CS)C(O)=O,-0.72
DB00152,Thiamine,265.355,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,-4.3
DB00153,Ergocalciferol,396.6484,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,-6
DB00154,gamma-Homolinolenic acid,306.4828,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,-6.6
DB00155,L-Citrulline,175.1857,N[C@@H](CCCNC(N)=O)C(O)=O,-0.9
DB00156,L-Threonine,119.1192,C[C@@H](O)[C@H](N)C(O)=O,0.6
DB00157,NADH,665.441,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,-2.4
DB00158,Folic Acid,441.3975,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,-3.8
DB00159,Icosapent,302.451,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,-6
DB00160,L-Alanine,89.0932,C[C@H](N)C(O)=O,0.7
DB00161,L-Valine,117.1463,CC(C)[C@H](N)C(O)=O,0.26
DB00162,Vitamin A,286.4516,CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,-4.6
DB00163,Vitamin E,430.7061,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,-7.8
DB00165,Pyridoxine,169.1778,CC1=NC=C(CO)C(CO)=C1O,-1
DB00166,Lipoic Acid,206.326,OC(=O)CCCCC1CCSS1,-3
DB00167,L-Isoleucine,131.1729,CC[C@H](C)[C@H](N)C(O)=O,-0.06
DB00168,Aspartame,294.3031,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,-2.6
DB00169,Cholecalciferol,384.6377,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,-6
DB00170,Menadione,172.18,CC1=CC(=O)C2=CC=CC=C2C1=O,-2.5
DB00171,Adenosine triphosphate,507.181,NC1=C2N=CN([C@@H]3O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,-2
DB00172,L-Proline,115.1305,OC(=O)[C@@H]1CCCN1,0.5
DB00173,Adenine,135.1267,NC1=C2NC=NC2=NC=N1,-1.1
DB00174,L-Asparagine,132.1179,N[C@@H](CC(N)=O)C(O)=O,0.1
DB00175,Pravastatin,424.5277,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12,-3.2
DB00176,Fluvoxamine,318.3346,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,-4.6
DB00177,Valsartan,435.5188,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,-4.3
DB00178,Ramipril,416.5106,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(O)=O,-4
DB00179,Masoprocol,302.3649,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,-4.3
DB00180,Flunisolide,434.4977,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,-4.1
DB00181,Baclofen,213.661,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,-2.5
DB00182,Amphetamine,135.2062,CC(N)CC1=CC=CC=C1,-1.9
DB00183,Pentagastrin,767.891,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)CCNC(=O)OCC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,-5.4
DB00184,Nicotine,162.2316,CN1CCCC1C1=CN=CC=C1,-0.24
